word,phonetic,pos,definition,example,frequency,difficulty
transmitter,/trænzˈmɪtə/,n.,发射器,"The radio transmitter broadcasts signals across the city.",4,3
receiver,/rɪˈsiːvə/,n.,接收器,"The receiver picks up the signal from the transmitter.",4,3
transceiver,/trænˈsiːvə/,n.,收发器,"A transceiver can both transmit and receive signals.",4,3
relay,/ˈriːleɪ/,n.,继电器,"The relay allows a low-power signal to control a high-power circuit.",4,3
detector,/dɪˈtektə/,n.,探测器,"The metal detector is used for security screening.",5,2
gauge,/ɡeɪdʒ/,n.,测量仪,"The pressure gauge shows the tire pressure.",4,3
meter,/ˈmiːtə/,n.,计量表,"The electricity meter records power consumption.",5,2
oscilloscope,/əˈsɪləskəʊp/,n.,示波器,"Engineers use oscilloscopes to visualize electrical signals.",3,4
multimeter,/ˌmʌlˈtɪmiːtə/,n.,万用表,"A multimeter can measure voltage, current, and resistance.",4,3
prototype,/ˈprəʊtətaɪp/,n.,原型,"They built a prototype to test the concept.",5,2
manufacturing,/ˌmænjuˈfæktʃərɪŋ/,n.,制造,"Electronic manufacturing requires precision equipment.",5,2
assembly,/əˈsembli/,n.,装配,"The assembly line produces thousands of units daily.",5,2
fabrication,/ˌfæbrɪˈkeɪʃn/,n.,制造,"Semiconductor fabrication is a complex process.",4,3
production,/prəˈdʌkʃn/,n.,生产,"Production has moved to a new facility.",5,1
automation,/ˌɔːtəˈmeɪʃn/,n.,自动化,"Factory automation has increased efficiency.",5,2
integration,/ˌɪntɪˈɡreɪʃn/,n.,集成,"System integration connects different components.",4,3
embedded,/ɪmˈbedɪd/,adj.,嵌入式的,"Embedded systems control many everyday devices.",4,3
firmware,/ˈfɜːmweə/,n.,固件,"The device needs a firmware update.",4,3
driver,/ˈdraɪvə/,n.,驱动程序,"Install the latest printer drivers for best performance.",5,2
compatibility,/kəmˌpætəˈbɪləti/,n.,兼容性,"Check compatibility before purchasing new hardware.",5,2
interoperability,/ˌɪntərˌɒpərəˈbɪləti/,n.,互操作性,"Interoperability between different systems is essential.",4,3
nanotechnology,/ˌnænəʊtekˈnɒlədʒi/,n.,纳米技术,"Nanotechnology works at the molecular level.",4,3
photonics,/fəʊˈtɒnɪks/,n.,光子学,"Photonics uses light to transmit information.",4,4
optoelectronics,/ˌɒptəʊɪlekˈtrɒnɪks/,n.,光电子学,"Optoelectronics combines optics and electronics.",4,4
laser,/ˈleɪzə/,n.,激光,"Lasers are used in many industrial applications.",5,2
quantum,/ˈkwɒntəm/,adj.,量子的,"Quantum computing offers new possibilities.",4,3
microcontroller,/ˌmaɪkrəʊkənˈtrəʊlə/,n.,微控制器,"A microcontroller is a small computer on a single chip.",4,3
FPGA,/ˌef piː dʒiː ˈeɪ/,n.,现场可编程门阵列,"FPGAs can be reprogrammed for different tasks.",3,4
ASIC,/ˈeɪsɪk/,n.,专用集成电路,"ASICs are designed for specific applications.",3,4
IC,/ˌaɪ ˈsiː/,n.,集成电路,"The IC contains thousands of components.",4,3
PCB,/ˌpiː siː ˈbiː/,n.,印刷电路板,"The PCB connects all electronic components.",4,3
SMD,/ˌes em ˈdiː/,n.,表面贴装器件,"SMD components are soldered directly onto the PCB.",3,4
soldering,/ˈsɒldərɪŋ/,n.,焊接,"Soldering requires careful precision.",4,3
flux,/flʌks/,n.,助焊剂,"Apply flux before soldering for better results.",3,3
ESD,/ˌiː es ˈdiː/,n.,静电放电,"ESD protection prevents damage to sensitive components.",4,3
EMI,/ˌiː em ˈaɪ/,n.,电磁干扰,"EMI shielding reduces unwanted interference.",4,3
RFI,/ˌɑːr ef ˈaɪ/,n.,射频干扰,"RFI can disrupt electronic equipment.",3,4
noise,/nɔɪz/,n.,噪声,"Electrical noise can degrade signal quality.",5,2
shield,/ʃiːld/,n./v.,屏蔽,"The cable is shielded to prevent interference.",5,2
ground,/ɡraʊnd/,n./v.,接地,"Properly ground all equipment for safety.",5,2
insulator,/ˈɪnsjuleɪtə/,n.,绝缘体,"Rubber is a good electrical insulator.",4,3
conductor,/kənˈdʌktə/,n.,导体,"Copper is an excellent electrical conductor.",4,3
electrode,/ɪˈlektrəʊd/,n.,电极,"The battery has positive and negative electrodes.",4,3
anode,/ˈænəʊd/,n.,阳极,"The anode is the positively charged electrode.",3,4
cathode,/ˈkæθəʊd/,n.,阴极,"The cathode is the negatively charged electrode.",3,4
polarization,/ˌpəʊləraɪˈzeɪʃn/,n.,极化,"Polarization affects battery performance.",3,4
calibration,/ˌkælɪˈbreɪʃn/,n.,校准,"Regular calibration ensures accurate measurements.",4,3
tolerance,/ˈtɒlərəns/,n.,公差,"Components have specified tolerances for accuracy.",4,3
specification,/ˌspesɪfɪˈkeɪʃn/,n.,规格,"The product meets all technical specifications.",5,2
standard,/ˈstændəd/,n.,标准,"Industry standards ensure compatibility.",5,1
regulation,/ˌreɡjuˈleɪʃn/,n.,法规,"Electronics must comply with safety regulations.",5,2
certification,/ˌsɜːtɪfɪˈkeɪʃn/,n.,认证,"The product has received safety certification.",5,2
patent,/ˈpætnt/,n.,专利,"The company holds multiple patents for its technology.",5,2
intellectual property,/ˌɪntəˈlektʃuəl ˈprɒpəti/,n.,知识产权,"Protect your intellectual property with patents.",5,2
innovation,/ˌɪnəˈveɪʃn/,n.,创新,"Technological innovation drives the industry forward.",5,2
R&D,/ˌɑːr ən ˈdiː/,n.,研发,"The company invests heavily in R&D.",5,2
lifecycle,/ˈlaɪfsaɪkl/,n.,生命周期,"Consider the entire product lifecycle from design to disposal.",5,2
obsolescence,/ˌɒbsəˈlesns/,n.,过时,"Planned obsolescence shortens product lifespan.",4,3
legacy,/ˈleɡəsi/,adj.,遗留的,"Legacy systems may need special maintenance.",4,3
backward compatibility,/ˈbækwəd kəmˌpætəˈbɪləti/,n.,向后兼容,"Backward compatibility allows use with older systems.",4,3
forward compatibility,/ˈfɔːwəd kəmˌpætəˈbɪləti/,n.,向前兼容,"Forward compatibility works with future versions.",4,3
scalability,/ˌskeɪləˈbɪləti/,n.,可扩展性,"Scalability allows systems to grow with demand.",4,3
iteration,/ˌɪtəˈreɪʃn/,n.,迭代,"Each iteration improves on the previous version.",5,2
debugging,/diːˈbʌɡɪŋ/,n.,调试,"Debugging identifies and fixes problems in code.",5,2
troubleshooting,/ˈtrʌblʃuːtɪŋ/,n.,故障排除,"Troubleshooting skills are essential for technical support.",5,2
maintenance,/ˈmeɪntənəns/,n.,维护,"Regular maintenance extends equipment life.",5,1
overhaul,/ˈəʊvəhɔːl/,n./v.,大修,"The system needs a complete overhaul.",4,3
repair,/rɪˈpeə/,v./n.,修理,"The technician will repair your device.",5,1
diagnostic,/ˌdaɪəɡˈnɒstɪk/,adj./n.,诊断,"Run diagnostic tests to identify the problem.",5,2
efficiency,/ɪˈfɪʃnsi/,n.,效率,"Improving efficiency reduces energy consumption.",5,2
sustainability,/səˌsteɪnəˈbɪləti/,n.,可持续性,"Electronic waste is a sustainability challenge.",5,2
recyclable,/ˌriːˈsaɪkləbl/,adj.,可回收的,"Many electronic components are recyclable.",5,2
hazardous,/ˈhæzədəs/,adj.,危险的,"Some electronic components contain hazardous materials.",5,2
compliance,/kəmˈplaɪəns/,n.,合规,"Environmental compliance is increasingly important.",5,2
verilog,/ˈvɛrɪlɒɡ/,n.,Verilog硬件描述语言,"Verilog is commonly used for FPGA design.",4,3
VHDL,/ˌviː eɪtʃ diː ˈel/,n.,VHDL硬件描述语言,"VHDL is a hardware description language used in FPGA development.",4,3
synthesis,/ˈsɪnθəsɪs/,n.,综合,"Logic synthesis transforms HDL code into a netlist.",4,3
RTL,/ˌɑːr tiː ˈel/,n.,寄存器传输级,"RTL design describes the flow of digital signals between registers.",4,3
netlist,/ˈnetlɪst/,n.,网表,"The synthesizer generates a netlist from your HDL code.",3,4
bitstream,/ˈbɪtstriːm/,n.,比特流,"The FPGA is programmed by loading a bitstream.",4,3
LUT,/ˌel juː ˈtiː/,n.,查找表,"FPGAs implement logic functions using LUTs.",3,4
floorplanning,/ˈflɔːplænɪŋ/,n.,平面规划,"Floorplanning optimizes FPGA resource utilization.",3,4
timing,/ˈtaɪmɪŋ/,n.,时序,"Timing analysis ensures signals meet performance requirements.",5,2
constraint,/kənˈstreɪnt/,n.,约束,"Design constraints specify timing and placement requirements.",4,3
PLL,/ˌpiː el ˈel/,n.,锁相环,"PLLs generate and manage clock signals in FPGAs.",3,4
DSP,/ˌdiː es ˈpiː/,n.,数字信号处理,"FPGA DSP blocks accelerate mathematical operations.",4,3
IP core,/ˌaɪ piː ˈkɔː/,n.,知识产权核,"Vendor IP cores provide pre-designed functionality.",4,3
testbench,/ˈtestbentʃ/,n.,测试平台,"A testbench verifies HDL code functionality through simulation.",4,3
simulation,/ˌsɪmjuˈleɪʃn/,n.,仿真,"Hardware simulation tests designs before implementation.",5,2
compiler,/kəmˈpaɪlə/,n.,编译器,"The C++ compiler converts source code to machine code.",5,2
linker,/ˈlɪŋkə/,n.,链接器,"The linker combines object files into an executable.",4,3
debugger,/dɪˈbʌɡə/,n.,调试器,"Use a debugger to find and fix program errors.",5,2
IDE,/ˌaɪ diː ˈiː/,n.,集成开发环境,"Modern IDEs offer coding, debugging and compilation tools.",5,2
inheritance,/ɪnˈherɪtəns/,n.,继承,"Inheritance allows a class to use properties of another class.",5,2
polymorphism,/ˌpɒlɪˈmɔːfɪzəm/,n.,多态,"Polymorphism allows objects to take different forms.",4,3
encapsulation,/ɪnˌkæpsjuˈleɪʃn/,n.,封装,"Encapsulation hides implementation details from users.",4,3
class,/klɑːs/,n.,类,"A class defines the properties and behaviors of objects.",5,2
object,/ˈɒbdʒɪkt/,n.,对象,"Objects are instances of classes in OOP.",5,2
method,/ˈmeθəd/,n.,方法,"Methods define the behaviors of a class.",5,2
function,/ˈfʌŋkʃn/,n.,函数,"Functions perform specific tasks in a program.",5,1
variable,/ˈveəriəbl/,n.,变量,"Variables store data that can change during execution.",5,1
pointer,/ˈpɔɪntə/,n.,指针,"Pointers store memory addresses in C++.",4,3
reference,/ˈrefrəns/,n.,引用,"References provide an alias to existing variables.",4,3
template,/ˈtempleɪt/,n.,模板,"Templates enable generic programming in C++.",4,3
STL,/ˌes tiː ˈel/,n.,标准模板库,"The STL provides reusable data structures and algorithms.",4,3
container,/kənˈteɪnə/,n.,容器,"STL containers store and organize data efficiently.",4,3
iterator,/ˈɪtəreɪtə/,n.,迭代器,"Iterators traverse container elements sequentially.",4,3
namespace,/ˈneɪmspeɪs/,n.,命名空间,"Namespaces prevent naming conflicts in large projects.",4,3
exception,/ɪkˈsepʃn/,n.,异常,"Exception handling manages runtime errors gracefully.",5,2
thread,/θred/,n.,线程,"Multithreading executes code concurrently for better performance.",5,2
mutex,/ˈmjuːteks/,n.,互斥锁,"Mutexes prevent concurrent access to shared resources.",4,3
version control,/ˈvɜːʃn kənˈtrəʊl/,n.,版本控制,"Version control tracks changes to source code over time.",5,2
repository,/rɪˈpɒzɪtri/,n.,代码仓库,"All project code is stored in a central repository.",5,2
commit,/kəˈmɪt/,v.,提交,"Commit your changes to the repository regularly.",5,1
branch,/brɑːntʃ/,n.,分支,"Create a new branch for developing features.",5,1
merge,/mɜːdʒ/,v.,合并,"Merge your feature branch back into the main codebase.",5,2
pull request,/pʊl rɪˈkwest/,n.,拉取请求,"Submit a pull request to propose your changes.",5,2
unit test,/ˈjuːnɪt test/,n.,单元测试,"Write unit tests to verify individual components.",5,2
regression test,/rɪˈɡreʃn test/,n.,回归测试,"Regression tests ensure new changes don't break existing functionality.",4,3
continuous integration,/kənˈtɪnjuəs ˌɪntɪˈɡreɪʃn/,n.,持续集成,"CI automatically builds and tests code changes.",5,2
deploy,/dɪˈplɔɪ/,v.,部署,"Deploy the application to the production server.",5,2
DevOps,/ˌdevˈɒps/,n.,开发运维,"DevOps integrates development and operations processes.",5,2
agile,/ˈædʒaɪl/,adj.,敏捷的,"Agile development adapts quickly to changing requirements.",5,2
scrum,/skrʌm/,n.,Scrum敏捷开发框架,"The team follows scrum methodology for project management.",5,2
sprint,/sprɪnt/,n.,冲刺,"We need to complete these features by the end of the sprint.",5,2
backlog,/ˈbæklɒɡ/,n.,待办事项,"Add this feature request to the product backlog.",5,2
refactoring,/riːˈfæktərɪŋ/,n.,重构,"Code refactoring improves structure without changing behavior.",5,2
dependency,/dɪˈpendənsi/,n.,依赖,"The project has several external dependencies.",5,2
library,/ˈlaɪbrəri/,n.,库,"The library provides reusable functions for common tasks.",5,1
framework,/ˈfreɪmwɜːk/,n.,框架,"Angular is a popular front-end framework.",5,2
API,/ˌeɪ piː ˈaɪ/,n.,应用程序接口,"The API allows different systems to communicate.",5,2
SDK,/ˌes diː ˈkeɪ/,n.,软件开发工具包,"The SDK contains tools for developing applications.",5,2
middleware,/ˈmɪdlweə/,n.,中间件,"Middleware connects application components together.",4,3
scalability,/ˌskeɪləˈbɪləti/,n.,可扩展性,"The architecture must support scalability for future growth.",5,2
microservice,/ˈmaɪkrəʊsɜːvɪs/,n.,微服务,"Microservices architecture decomposes applications into small services.",4,3
containerization,/kənˌteɪnəraɪˈzeɪʃn/,n.,容器化,"Docker enables application containerization for consistent deployment.",4,3
orchestration,/ˌɔːkɪˈstreɪʃn/,n.,编排,"Kubernetes handles container orchestration across clusters.",4,3
latency,/ˈleɪtənsi/,n.,延迟,"Low latency is critical for real-time applications.",5,2
throughput,/ˈθruːpʊt/,n.,吞吐量,"The system must maintain high throughput under load.",4,3
benchmark,/ˈbentʃmɑːk/,n.,基准测试,"Run benchmarks to measure performance metrics.",5,2
optimization,/ˌɒptɪmaɪˈzeɪʃn/,n.,优化,"Code optimization improved execution speed by 30%.",5,2
garbage collection,/ˈɡɑːbɪdʒ kəˌlekʃn/,n.,垃圾回收,"Automatic garbage collection manages memory resources.",4,3
memory leak,/ˈmeməri liːk/,n.,内存泄漏,"The application has a memory leak causing it to slow down.",4,3
stack overflow,/stæk ˌəʊvəˈfləʊ/,n.,栈溢出,"The recursive function caused a stack overflow error.",4,3
buffer,/ˈbʌfə/,n.,缓冲区,"The data is stored temporarily in a buffer.",4,2
cache,/kæʃ/,n.,缓存,"Caching frequently accessed data improves performance.",5,2
asynchronous,/eɪˈsɪŋkrənəs/,adj.,异步的,"Asynchronous operations don't block the main thread.",4,3
synchronous,/ˈsɪngkrənəs/,adj.,同步的,"Synchronous calls wait for the operation to complete.",4,3
concurrency,/kənˈkʌrənsi/,n.,并发,"Concurrency allows multiple operations to progress at the same time.",4,3
parallelism,/ˈpærəlelɪzəm/,n.,并行,"Parallelism executes multiple calculations simultaneously.",4,3
frontend,/ˈfrʌntend/,n.,前端,"She works on the frontend user interface.",5,1
backend,/ˈbækend/,n.,后端,"The backend handles data processing and business logic.",5,1
full-stack,/fʊl stæk/,adj.,全栈的,"Full-stack developers work with both frontend and backend.",5,2
UI/UX,/ˌjuː aɪ juː ˈeks/,n.,用户界面/用户体验,"Good UI/UX design enhances user satisfaction.",5,2
responsive,/rɪˈspɒnsɪv/,adj.,响应式的,"The website has a responsive design for mobile devices.",5,2
static typing,/ˈstætɪk ˈtaɪpɪŋ/,n.,静态类型,"C++ uses static typing to catch errors at compile time.",4,3
dynamic typing,/daɪˈnæmɪk ˈtaɪpɪŋ/,n.,动态类型,"Python uses dynamic typing for flexibility.",4,3
MVC,/ˌem viː ˈsiː/,n.,模型-视图-控制器,"MVC separates application into model, view, and controller.",4,3
ORM,/ˌəʊ ɑːr ˈem/,n.,对象关系映射,"ORMs simplify database interactions in object-oriented code.",4,3
regex,/ˈredʒeks/,n.,正则表达式,"Use regex patterns to validate email addresses.",4,3 
